date/time	script	user	action	table	field	key value	old value	new value
2016/12/29 09:45:24	/armanda/tb_kuitansidelete.php	admin2	*** Batch delete begin ***	tb_kuitansi				
2016/12/29 09:45:24	/armanda/tb_kuitansidelete.php	admin2	D	tb_kuitansi	kuitansi_id	1	1	
2016/12/29 09:45:24	/armanda/tb_kuitansidelete.php	admin2	D	tb_kuitansi	invoice_id	1	5	
2016/12/29 09:45:24	/armanda/tb_kuitansidelete.php	admin2	D	tb_kuitansi	no_kuitansi	1	NK1313	
2016/12/29 09:45:24	/armanda/tb_kuitansidelete.php	admin2	*** Batch delete successful ***	tb_kuitansi				
2016/12/29 09:45:36	/armanda/tb_kuitansiadd.php	admin2	A	tb_kuitansi	invoice_id	2		5
2016/12/29 09:45:36	/armanda/tb_kuitansiadd.php	admin2	A	tb_kuitansi	no_kuitansi	2		NK131313
2016/12/29 09:45:36	/armanda/tb_kuitansiadd.php	admin2	A	tb_kuitansi	kuitansi_id	2		2
